lightgbm_weight,deepfm_weight,auc,logloss,brier,average_precision,mean_predicted_ctr,calibration_gap,search_phase
0.64,0.36,0.74677355867244,0.3804496966575398,0.11762456917631346,0.35539742101135324,0.156863378027894,0.00010462197210600599,coarse
0.65,0.35,0.7467501589271023,0.38045574084807804,0.11762679295869453,0.35537652594895974,0.1568909054632824,7.709453671758681e-05,coarse
0.66,0.33999999999999997,0.7467250634089535,0.3804628392473643,0.11762930890041112,0.355364599111491,0.15691843289867083,4.956710132916764e-05,coarse
0.67,0.32999999999999996,0.7466973355889183,0.3804709913475997,0.1176321170014632,0.35533786063665573,0.15694596033405925,2.2039665940748465e-05,coarse
0.68,0.31999999999999995,0.7466683554058999,0.38048019679833145,0.1176352172618508,0.35531722269304833,0.15697348776944767,5.4877694476707095e-06,coarse
0.69,0.31000000000000005,0.7466366967331011,0.38049045540647514,0.11763860968157389,0.3552869026224573,0.1570010152048361,3.3015204836089884e-05,coarse
0.7,0.30000000000000004,0.7466007443091343,0.3805017671365679,0.11764229426063251,0.3552632674618827,0.1570285426402245,6.054264022450906e-05,coarse
0.71,0.29000000000000004,0.7465640131294646,0.38051413211125684,0.1176462709990266,0.3552288391523583,0.15705607007561292,8.807007561292823e-05,coarse
0.72,0.28,0.7465266543627163,0.38052755061202925,0.11765053989675624,0.35519646472917954,0.15708359751100134,0.00011559751100134741,coarse
0.73,0.27,0.7464849900408914,0.38054202308019225,0.11765510095382137,0.35515753552394713,0.15711112494638976,0.00014312494638976658,coarse
0.74,0.26,0.746441054350785,0.3805575501181108,0.117659954170222,0.3551207447927251,0.15713865238177818,0.00017065238177818576,coarse
0.75,0.25,0.7463955035655435,0.3805741324907164,0.11766509954595815,0.3550669055379068,0.15716617981716657,0.00019817981716657718,coarse
0.76,0.24,0.7463468490475286,0.38059177112729975,0.1176705370810298,0.35501939314556274,0.157193707252555,0.00022570725255499635,coarse
0.77,0.22999999999999998,0.7462958153088726,0.3806104671236048,0.11767626677543698,0.3549675357612764,0.15722123468794344,0.0002532346879434433,coarse
0.78,0.21999999999999997,0.7462432646696975,0.3806302217442424,0.11768228862917965,0.3549121694052433,0.15724876212333186,0.00028076212333186246,coarse
0.79,0.20999999999999996,0.7461883094337445,0.38065103642544734,0.11768860264225782,0.35486360078939366,0.15727628955872025,0.0003082895587202539,coarse
0.8,0.19999999999999996,0.746130311267995,0.3806729127782057,0.11769520881467149,0.35480287988788495,0.1573038169941087,0.0003358169941087008,coarse
0.81,0.18999999999999995,0.7460705613931133,0.3806958525917835,0.11770210714642072,0.35474393619694516,0.15733134442949712,0.00036334442949712,coarse
0.82,0.18000000000000005,0.7460095434519696,0.3807198578376938,0.11770929763750541,0.354678986245511,0.15735887186488556,0.0003908718648855669,coarse
0.83,0.17000000000000004,0.745945409354476,0.3807449306741473,0.11771678028792562,0.3546060672615233,0.15738639930027395,0.00041839930027395833,coarse
0.84,0.16000000000000003,0.7458790746365844,0.38077107345103556,0.11772455509768133,0.35453371664842,0.15741392673566237,0.0004459267356623775,coarse
0.85,0.15000000000000002,0.745809583997831,0.38079828871551075,0.11773262206677257,0.35445140332453384,0.1574414541710508,0.0004734541710507967,coarse
0.86,0.14,0.7457387398240518,0.38082657921823165,0.11774098119519931,0.3543854449017793,0.1574689816064392,0.0005009816064392159,coarse
0.87,0.13,0.7456638479373008,0.3808559479203662,0.11774963248296155,0.35432883858746106,0.15749650904182763,0.000528509041827635,coarse
0.88,0.12,0.7455880940024764,0.38088639800145085,0.11775857593005931,0.35424691246613277,0.15752403647721605,0.0005560364772160542,coarse
0.89,0.10999999999999999,0.745510088543842,0.3809179328682372,0.11776781153649257,0.35417576319633715,0.15755156391260447,0.0005835639126044734,coarse
0.9,0.09999999999999998,0.7454303177131648,0.380950556164676,0.11777733930226134,0.3541013807685889,0.1575790913479929,0.0006110913479928926,coarse
0.91,0.08999999999999997,0.7453464524828651,0.38098427178322836,0.1177871592273656,0.3540239103487117,0.1576066187833813,0.0006386187833813117,coarse
0.92,0.07999999999999996,0.745261053621026,0.38101908387773636,0.1177972713118054,0.35393895856583635,0.15763414621876973,0.0006661462187697309,coarse
0.93,0.06999999999999995,0.7451738553356632,0.3810549968781419,0.1178076755555807,0.3538477722263628,0.15766167365415815,0.0006936736541581501,coarse
0.94,0.06000000000000005,0.7450854424719167,0.3810920155074176,0.11781837195869149,0.353759640757415,0.15768920108954654,0.0007212010895465415,coarse
0.95,0.050000000000000044,0.7449931369631932,0.38113014480117074,0.11782936052113781,0.35367767027428054,0.15771672852493496,0.0007487285249349607,coarse
0.96,0.040000000000000036,0.7448994444725169,0.38116939013051254,0.11784064124291961,0.35358249276325215,0.15774425596032338,0.0007762559603233798,coarse
0.97,0.030000000000000027,0.7448058892306186,0.3812097572289587,0.11785221412403694,0.3534881509246157,0.1577717833957118,0.000803783395711799,coarse
0.98,0.020000000000000018,0.7447095717984958,0.3812512522243686,0.11786407916448978,0.3533897064147766,0.15779931083110021,0.0008313108311002182,coarse
0.99,0.010000000000000009,0.7446106980115308,0.3812938816772635,0.11787623636427813,0.3532909683414319,0.15782683826648866,0.0008588382664886651,coarse
1.0,0.0,0.7445089892612029,0.38133765262733016,0.11788868572340196,0.35318495852783743,0.15785436570187708,0.0008863657018770843,coarse
0.57,0.43000000000000005,0.7468728439185762,0.38043698106620916,0.11761718316104025,0.35545607848715827,0.15667068598017503,0.00029731401982496797,fine
0.571,0.42900000000000005,0.7468722235256855,0.38043679693609705,0.1176171878805734,0.35545625368477135,0.1566734387237139,0.00029456127628610385,fine
0.572,0.42800000000000005,0.7468717356811685,0.3804366234440586,0.1176171955216999,0.3554558384819024,0.15667619146725273,0.0002918085327472675,fine
0.573,0.42700000000000005,0.7468708379190919,0.38043646058824265,0.11761720608441976,0.3554562441778575,0.15667894421079157,0.0002890557892084311,fine
0.574,0.42600000000000005,0.7468702271990584,0.38043630836681464,0.11761721956873299,0.35545560059168696,0.15668169695433043,0.000286303045669567,fine
0.575,0.42500000000000004,0.7468693746273625,0.3804361667779569,0.11761723597463956,0.35545833433610835,0.15668444969786924,0.0002835503021307584,fine
0.576,0.42400000000000004,0.746868642966384,0.38043603581986807,0.11761725530213948,0.3554576148497813,0.1566872024414081,0.00028079755859189426,fine
0.577,0.42300000000000004,0.7468678875162219,0.3804359154907639,0.11761727755123277,0.35545620187393157,0.15668995518494694,0.0002780448150530579,fine
0.578,0.42200000000000004,0.7468673028222204,0.3804358057888763,0.1176173027219194,0.3554571201221322,0.1566927079284858,0.00027529207151419377,fine
0.579,0.42100000000000004,0.7468664280029523,0.38043570671245397,0.11761733081419941,0.35545577987999505,0.15669546067202464,0.0002725393279753574,fine
0.58,0.42000000000000004,0.746865480546571,0.3804356182597623,0.11761736182807275,0.3554550068760621,0.15669821341556345,0.0002697865844365488,fine
0.581,0.41900000000000004,0.7468646742232243,0.38043554042908306,0.11761739576353948,0.3554548908133831,0.1567009661591023,0.00026703384089768467,fine
0.582,0.41800000000000004,0.7468637994644118,0.3804354732187145,0.11761743262059951,0.35545664331471816,0.15670371890264115,0.0002642810973588483,fine
0.583,0.41700000000000004,0.7468631200519771,0.38043541662697156,0.11761747239925294,0.35545746737923783,0.15670647164617998,0.00026152835382001194,fine
0.584,0.41600000000000004,0.7468623706775784,0.38043537065218574,0.11761751509949969,0.3554579719968726,0.15670922438971885,0.0002587756102811478,fine
0.585,0.41500000000000004,0.7468613558890413,0.3804353352927047,0.11761756072133982,0.35545769411833744,0.15671197713325766,0.0002560228667423392,fine
0.586,0.41400000000000003,0.746860846492189,0.38043531054689284,0.1176176092647733,0.3554564815820809,0.15671472987679652,0.0002532701232034751,fine
0.587,0.41300000000000003,0.7468600087622836,0.38043529641313084,0.11761766072980015,0.3554536779204557,0.15671748262033536,0.0002505173796646387,fine
0.588,0.41200000000000003,0.7468588963081144,0.380435292889816,0.11761771511642033,0.35545394444132095,0.1567202353638742,0.00024776463612580235,fine
0.589,0.41100000000000003,0.7468575370147159,0.38043529997536174,0.11761777242463388,0.35545409475420175,0.15672298810741306,0.00024501189258693823,fine
0.59,0.41000000000000003,0.7468564531861591,0.38043531766819816,0.11761783265444077,0.35545508090663375,0.15672574085095187,0.00024225914904812962,fine
0.591,0.40900000000000003,0.7468556472255448,0.3804353459667715,0.11761789580584103,0.3554548434355337,0.15672849359449076,0.00023950640550923774,fine
0.592,0.40800000000000003,0.7468546041590136,0.3804353848695444,0.11761796187883464,0.3554549338544616,0.15673124633802957,0.00023675366197042913,fine
0.593,0.40700000000000003,0.7468536049377315,0.3804354343749961,0.11761803087342161,0.3554548034675077,0.1567339990815684,0.00023400091843159276,fine
0.594,0.406,0.7468520274760571,0.38043549448162167,0.11761810278960193,0.3554524015834423,0.15673675182510727,0.00023124817489272864,fine
0.595,0.405,0.7468509089158968,0.3804355651879329,0.1176181776273756,0.35545239553603813,0.15673950456864608,0.00022849543135392003,fine
0.596,0.404,0.7468495054145171,0.38043564649245776,0.11761825538674263,0.3554505752354839,0.15674225731218497,0.00022574268781502815,fine
0.597,0.403,0.7468483564150836,0.3804357383937404,0.117618336067703,0.3554502629692844,0.15674501005572378,0.00022298994427621954,fine
0.598,0.402,0.7468469786223453,0.38043584089034116,0.11761841967025675,0.3554513060506983,0.1567477627992626,0.00022023720073738318,fine
0.599,0.401,0.7468454706087644,0.3804359539808369,0.11761850619440385,0.35545141497033284,0.15675051554280148,0.00021748445719851905,fine
0.6,0.4,0.7468443036994308,0.3804360776638205,0.1176185956401443,0.35545170623020556,0.1567532682863403,0.0002147317136596827,fine
0.601,0.399,0.7468428555215412,0.380436211937901,0.11761868800747811,0.3554508769746033,0.15675602102987918,0.00021197897012081857,fine
0.602,0.398,0.7468417309309588,0.38043635680170385,0.11761878329640525,0.3554521097277148,0.156758773773418,0.00020922622658200996,fine
0.603,0.397,0.7468403726048458,0.3804365122538705,0.11761888150692579,0.35545211523278897,0.15676152651695682,0.0002064734830431736,fine
0.604,0.396,0.7468388727527384,0.38043667829305855,0.11761898263903965,0.35545037747385255,0.1567642792604957,0.00020372073950430947,fine
0.605,0.395,0.7468373758176019,0.3804368549179418,0.11761908669274687,0.3554491803702717,0.1567670320040345,0.00020096799596550086,fine
0.606,0.394,0.7468358590531077,0.3804370421272105,0.11761919366804746,0.35544838334968537,0.15676978474757336,0.00019821525242663673,fine
0.607,0.393,0.746834507029466,0.3804372399195704,0.1176193035649414,0.3554474293213109,0.1567725374911122,0.00019546250888780037,fine
0.608,0.392,0.7468331042384369,0.3804374482937439,0.11761941638342867,0.3554456681155925,0.15677529023465103,0.000192709765348964,fine
0.609,0.391,0.746831271730718,0.3804376672484691,0.11761953212350933,0.35544190757827515,0.1567780429781899,0.00018995702181009988,fine
0.61,0.39,0.7468299286393554,0.38043789678250056,0.11761965078518333,0.3554403403486892,0.15678079572172873,0.0001872042782712635,fine
