threshold,tp,fp,tn,fn,predicted_positive_rows,predicted_negative_rows,coverage,precision,recall,specificity,false_positive_rate,false_negative_rate,accuracy,balanced_accuracy,f1,negative_predictive_value,selected_group_ctr,unselected_group_ctr,overall_ctr,lift,click_capture_rate,missed_click_rate,youden_j
0.25,14164,29383,139223,17230,43547,156453,0.217735,0.32525776746963053,0.45116901318723324,0.8257298079546398,0.17427019204536018,0.5488309868127668,0.766935,0.6384494105709365,0.378004029836805,0.8898710794935221,0.32525776746963053,0.11012892050647799,0.15697,2.0721014682399854,0.45116901318723324,0.5488309868127668,0.27689882114187303
0.2530369012147604,14164,29383,139223,17230,43547,156453,0.217735,0.32525776746963053,0.45116901318723324,0.8257298079546398,0.17427019204536018,0.5488309868127668,0.766935,0.6384494105709365,0.378004029836805,0.8898710794935221,0.32525776746963053,0.11012892050647799,0.15697,2.0721014682399854,0.45116901318723324,0.5488309868127668,0.27689882114187303
0.26,12672,25070,143536,18722,37742,162258,0.18871,0.3357532722166287,0.4036440084092502,0.851310155036001,0.1486898449639989,0.5963559915907498,0.78104,0.6274770817226256,0.36658180976625787,0.8846158586941784,0.3357532722166287,0.11538414130582159,0.15697,2.1389645933403116,0.4036440084092502,0.5963559915907498,0.25495416344525124
0.27,11938,22929,145677,19456,34867,165133,0.174335,0.3423867840651619,0.38026374466458557,0.8640083982776413,0.13599160172235863,0.6197362553354144,0.788075,0.6221360714711135,0.3603326240171443,0.8821798186916001,0.3423867840651619,0.1178201813083999,0.15697,2.1812243362754784,0.38026374466458557,0.6197362553354144,0.244272142942227
0.28,11264,21002,147604,20130,32266,167734,0.16133,0.34909812186202194,0.3587946741415557,0.875437410293821,0.12456258970617891,0.6412053258584443,0.79434,0.6171160422176883,0.35387998743323906,0.8799885533046371,0.34909812186202194,0.1200114466953629,0.15697,2.2239798806270112,0.3587946741415557,0.6412053258584443,0.2342320844353767
0.29,11264,21002,147604,20130,32266,167734,0.16133,0.34909812186202194,0.3587946741415557,0.875437410293821,0.12456258970617891,0.6412053258584443,0.79434,0.6171160422176883,0.35387998743323906,0.8799885533046371,0.34909812186202194,0.1200114466953629,0.15697,2.2239798806270112,0.3587946741415557,0.6412053258584443,0.2342320844353767
0.2924078091106291,10967,20233,148373,20427,31200,168800,0.156,0.3515064102564103,0.3493342676944639,0.8799983393236303,0.12000166067636976,0.650665732305536,0.7967,0.614666303509047,0.35041697287279927,0.8789869668246445,0.3515064102564103,0.12101303317535544,0.15697,2.239322228810666,0.3493342676944639,0.650665732305536,0.2293326070180941
0.3,8039,13084,155522,23355,21123,178877,0.105615,0.38058040997964304,0.2560680384786902,0.9223989656358611,0.07760103436413889,0.7439319615213098,0.817805,0.5892335020572756,0.30614848525239446,0.8694354221056927,0.38058040997964304,0.13056457789430725,0.15697,2.4245423328001725,0.2560680384786902,0.7439319615213098,0.1784670041145513
0.3088050314465409,7991,13004,155602,23403,20995,179005,0.104975,0.38061443200762085,0.2545390839013824,0.9228734445986501,0.0771265554013499,0.7454609160986175,0.817965,0.5887062642500163,0.3050640401611025,0.8692606351777883,0.38061443200762085,0.13073936482221166,0.15697,2.4247590750310306,0.2545390839013824,0.7454609160986175,0.17741252850003253
0.31,7643,12271,156335,23751,19914,180086,0.09957,0.38380034146831377,0.24345416321590113,0.9272208580952042,0.0727791419047958,0.7565458367840989,0.81989,0.5853375106555526,0.2979262493178452,0.8681130126717235,0.38380034146831377,0.1318869873282765,0.15697,2.445055370251091,0.24345416321590113,0.7565458367840989,0.17067502131110524
